0,1,2,3,4,5,6,7,8,9
2.5996764,-0.27607825,-1.2467433,-1.5256939,0.14885615,1.4734856,0.5924989,0.1110879,-0.20045659,-0.016530368
-0.9580421,-0.23095831,1.2885625,0.12948193,1.272034,-1.8978794,-0.19516112,-0.9832497,1.4086632,-2.02091
-2.7700021,-0.89521927,-0.1936499,-0.10468292,0.8788559,1.1627828,2.0613601,0.06316942,-0.7526404,-0.15776733
0.36960998,-0.5751279,-1.4091277,1.5325029,-2.672065,0.01802558,0.3984667,0.83197397,-1.3816135,1.1063747
-2.4775023,0.7625288,-1.0833615,-1.3563123,0.84103113,-1.8154407,0.38575396,-0.3739841,-0.25538146,-1.0165167
0.91688985,0.8221408,0.1965335,1.7124102,0.3322401,2.3848815,1.0610868,-2.078328,-0.22244132,-0.59619874
-0.0730419,-1.2286565,-0.24289729,0.53010625,-2.4995806,1.4836293,-0.38311952,-0.024767555,0.92311877,1.8524097
-1.3851177,-0.8641745,0.24733305,0.75618863,-2.3328967,-1.3184476,0.89296377,-1.2771885,1.7879155,0.5850684
2.386574,-1.1730769,-1.4917117,0.62437475,0.7775454,-0.96128345,-0.4207044,-0.35438636,0.042358045,-1.0260283
0.27845585,0.81773996,-0.4301242,-1.5890667,-1.6303155,0.6148969,1.5806911,-1.3448697,-1.0075032,1.8307143
0.586866,-0.8235109,-0.6003424,0.400362,-0.88559216,-0.18302852,-1.5964746,-1.3601059,2.3818512,-1.4463068
0.6338679,-0.7773789,-0.84832287,0.47511432,-0.024871096,0.32736236,1.2501292,0.48496082,3.2675378,-1.0807302
1.6338184,0.1021389,0.7785748,-0.8904694,0.19596551,-1.3269142,-1.3805276,1.3588498,0.4653029,1.7919716
0.14232004,1.0421125,0.45048785,-2.2549028,-0.5805364,-1.2462474,-1.487914,-0.5338018,1.1301441,-1.8919394
-0.84751517,2.4872565,-1.5090989,1.0108256,0.074165836,-0.40864545,-1.2451968,-0.29800156,1.0768684,1.1831565
-2.0236702,-0.50762737,-1.0391535,-1.0294483,-1.0583521,2.06912,-0.84690726,-0.291583,0.45680085,-1.1824074
-0.106223404,2.0371287,2.5891716,1.0702717,0.7168176,-0.022547709,0.6657103,0.7317144,1.1154636,0.47261336
1.8587288,-1.7189212,1.6911436,-0.026870854,0.35229558,-0.24384634,-0.32323658,-0.3869354,-0.70064163,-2.2373605
0.16359165,0.47034976,-0.017443215,1.7289915,0.45106077,-2.365111,1.3558292,-0.47539315,1.415107,-1.684774
2.6698112,1.6820313,-0.9336719,-0.92727983,-0.9008287,-0.14799657,0.8308953,-0.30678096,0.07489352,-1.3848178
