0,1,2,3,4,5,6,7,8,9
-1.6475391,0.09036011,0.037410803,0.9267513,0.21091415,-0.168456,1.2688359,-1.2994376,-1.3186079,0.78953564
2.1604745,0.1268113,0.11349935,0.5863541,-0.16858286,0.832804,-0.3630078,0.79212576,0.7261033,1.3966386
-0.100943446,-0.008042704,0.14396806,-2.0328906,-0.8181107,1.6695145,-0.48717782,-0.27844808,-0.95706487,-0.2844808
0.9814844,-0.7626394,-1.1523936,-0.0831492,0.030467488,1.0901663,1.6746464,-0.37646046,1.6229203,-0.6299224
0.40607077,1.0268928,0.31169686,0.5985629,-1.0832051,-1.2669414,-1.4806538,1.4767971,-0.10367108,0.83458394
-1.3912796,0.3530968,0.4081883,1.4935436,-1.1088892,-0.006920298,-1.2701808,0.17157508,-1.6169949,0.090231
-0.25793654,1.824874,0.40825477,1.251439,0.33722255,-0.7916004,1.1966348,-0.40619972,-1.4425842,-0.8072216
0.39814913,0.7675582,-1.4048148,-0.51228815,-1.1317228,-0.30823436,0.7458791,0.61320436,-2.044033,1.0774741
2.2339075,1.285507,0.26848346,0.060872693,0.57712585,0.5475376,0.57492566,0.047554035,-0.2918807,-1.1587677
-1.2907344,-0.9615701,-1.072396,-0.06769527,1.0877875,-1.3938342,-0.5356817,0.26492795,0.3509207,0.60482335
-0.10137382,0.15056038,0.14217678,2.0740275,0.26194102,-1.5857186,0.31972456,1.1840968,0.27947888,-0.29874972
-1.2393668,-1.7342443,-1.7917073,1.0469334,-0.619056,0.059899114,-0.3448055,-0.5728207,-0.0031189355,-0.7326253
1.2695981,-1.4005059,-1.1485643,-0.13998497,-0.92536366,-0.76615536,-1.4535967,0.11122337,0.56139517,-0.09761213
1.2253826,0.6048731,-0.9273914,0.56181383,-0.3938407,0.55078524,2.3020995,-0.33870682,-0.4623945,0.94558686
0.5811907,-0.3838336,0.6435164,0.5264547,1.2185942,0.039601684,-1.0911881,-1.7095667,0.07581437,-1.461605
1.5123407,-0.35372093,-0.5494571,-0.017210448,0.30178154,-2.1834283,0.6913949,0.020667545,0.85676116,0.61124736
-1.9885885,-0.26006824,0.3527317,-0.40133247,-1.0144004,1.5043728,-0.29700434,-1.0416092,0.12677687,0.09548201
-0.5313241,1.0599278,1.2315974,0.6561305,0.11531105,-0.33607814,-1.8860464,-0.3086254,-0.072486944,-0.8981532
-0.6099863,-0.7593917,-0.19715437,0.61822695,-1.3416256,-0.12493001,-1.5285017,0.7064617,1.6426045,-0.3228532
-0.15416616,1.4533594,-0.8822901,0.9793273,-0.19439006,-0.9563047,2.2179708,-0.32400644,0.016975835,-0.024933713
1.8509648,0.33315188,0.030022739,-1.0832795,-1.3398457,1.2093419,-0.093378514,0.8050207,-1.1193129,0.36433363
-1.2766867,-1.0234171,0.6450136,-0.7612948,-0.05386294,-0.8392689,0.6071991,-0.25405735,-2.2337272,-0.15631407
0.5769932,1.3860284,0.03009203,0.7247136,-0.08789416,0.30267227,0.6143035,-0.27264202,2.07417,1.5125859
0.755677,0.6843748,0.20664534,-0.39409965,-2.236702,1.2886424,1.1974778,0.48163286,-0.10291361,-0.09545867
-0.16260499,-0.022530176,0.90636027,-0.34295243,-0.43994653,-2.3110454,0.90414625,-0.0044261734,-0.7887954,-0.97633797
0.5898236,1.459988,1.2527008,-0.023362676,1.2264843,0.7824396,0.6534552,1.056068,0.91496813,0.48357975
0.62692845,0.6940724,-0.9665762,1.4625987,0.68791884,0.3472521,-0.55790097,-0.4731798,1.7683163,-0.7433371
-0.2344373,-0.36684582,0.7094226,-1.3149222,1.2110823,0.8489059,-0.5238468,1.6843061,-0.064243704,1.1986064
-0.92288387,-0.19987783,-0.29524568,-0.46716222,0.7346244,1.190378,0.30425143,-1.3441659,0.4983541,1.658691
0.12152709,1.5520567,0.7715107,1.0360811,-0.4796579,-0.069676146,-0.25714505,-0.047957335,-1.9746915,-0.4426592
0.103698395,-0.45577657,0.29170683,-1.3016326,-0.7474692,-0.69721746,0.7245134,-1.0850248,-2.1076531,0.93462735
0.21226184,-0.74538904,-1.9095119,-1.1428072,0.04942594,-0.36311376,0.19436848,-1.0477235,-0.2892594,-1.5191706
-0.96376073,2.1231499,0.48690957,-0.278145,0.9631965,0.4792452,1.3062865,0.24540491,0.97330356,0.52366877
